ID_ATIV_ECON_ESTABELECIMENTO,ID_CDB,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA,GEOMETRIA,COORDS,COORD_GEO
231690,000,5611201.0,2019-09-16,NÃO,"RUA EDUARDO CARLOS, 340, ARAGUAIA, BELO HORIZONTE, MG, BRASIL",GERSON DA CRUZ SILVA 83791620134,RESTAURANTE E LANCHONETE TO EM CASA,POINT (604400.94 7789392.11),"(-19.9902015, -44.0008435)","(-19.9892984, -44.0020593)"
231691,000,5611204.0,2019-09-16,NÃO,"RUA TOME DE SOUZA, 999, SAVASSI, BELO HORIZONTE, MG, BRASIL",34.885.340 ANTONIO CASSIO DE OLIVEIRA,CASSIO,POINT (611340.74 7795157.21),"(-19.9389459, -43.9270599)","(-19.936824, -43.9360812)"
232640,000,5611205.0,2019-09-24,NÃO,"RUA GERALDA ROQUE GUACERONI, 158, CONFISCO, BELO HORIZONTE, MG, BRASIL",GETULIO MARQUES PEREIRA 09219393611,GETULIO MARQUES,POINT (602828.17 7802835.49),"(-19.8675466, -44.0181145)","(-19.8679157, -44.0178421)"
232943,000,5611201.0,2019-09-26,SIM,"RUA DOS AIMORES, 370, FUNCIONARIOS, BELO HORIZONTE, MG, BRASIL",A CASA COZINHA CRIATIVA LTDA,A CASA - COZINHA CRIATIVA,POINT (612222.87 7795812.93),"(-19.9307101, -43.9286735)","(-19.9308488, -43.9276931)"
233564,000,5611201.0,2019-10-02,NÃO,"RUA TRINTA DE JUNHO, 150, LEONINA, BELO HORIZONTE, MG, BRASIL",LENITA DO CARMO CANUTO 00146296664,COZINHA DA ITA,POINT (608597.70 7793651.28),"(nan, nan)","(-19.9505855, -43.9622003)"
234065,000,5611201.0,2019-10-07,NÃO,"RUA RIO DE JANEIRO, 600, CENTRO, BELO HORIZONTE, MG, BRASIL",FRANGO MAIS MC LTDA,FRANGO CENTER,POINT (611059.11 7797058.40),"(-19.9221732, -43.9394511)","(-19.9196624, -43.9388867)"
229150,000,5611201.0,2019-08-26,NÃO,"RUA CURUPAITI, 555, PADRE EUSTAQUIO, BELO HORIZONTE, MG, BRASIL",YCARO GUTEMBERG SOARES DE ANDRADE 12222960630,EL BURGER FOOD,POINT (606159.72 7797497.72),"(-19.9208482, -43.9860981)","(-19.9159662, -43.9857176)"
229465,000,5611201.0,2019-08-28,SIM,"AVENIDA ITAITE, 1036, SAO GERALDO, BELO HORIZONTE, MG, BRASIL",34.691.392 LETICIA DE JESUS FERREIRA,LELEH FOOD,POINT (615749.84 7799559.71),"(-19.8977723, -43.898002)","(-19.8967898, -43.8942323)"
230744,000,5611201.0,2019-09-09,NÃO,"AVENIDA BERNARDO DE VASCONCELOS, 259, CACHOEIRINHA, BELO HORIZONTE, MG, BRASIL",NOBRE SABOR BAR E RESTAURANTE LTDA,ESTABELECIMENTO SEM NOME,POINT (610053.46 7800926.60),"(nan, nan)","(-19.8847693, -43.9487248)"
231388,000,5611201.0,2019-09-13,NÃO,"RUA SANTA APOLONIA, 1, SANTA INES, BELO HORIZONTE, MG, BRASIL",NELSON BRAGA NETO 01479378682,HOT PIZZA,POINT (614199.51 7801722.09),"(nan, nan)","(-19.8773437, -43.9091745)"
